"Tabela 1364 - Número de municípios, total e os com serviço de abastecimento de água, por tipo de tratamento da água"
"Variável - Municípios com serviço de abastecimento de água por rede geral de distribuição (Unidades)"
"Brasil, Unidade da Federação e Município";"Ano x Existência e tipo de tratamento da água"
"Brasil, Unidade da Federação e Município";"2000";;;;;;;;"2008";;;;;;;;"2017"
"Brasil, Unidade da Federação e Município";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento"
"Saudade do Iguaçu (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Sengés (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Serranópolis do Iguaçu (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Sertaneja (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Sertanópolis (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Siqueira Campos (PR)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Sulina (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Tamarana (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Tamboara (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Tapejara (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Tapira (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Teixeira Soares (PR)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Telêmaco Borba (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Terra Boa (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Terra Rica (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Terra Roxa (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Tibagi (PR)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Tijucas do Sul (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Toledo (PR)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Tomazina (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Três Barras do Paraná (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Tunas do Paraná (PR)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Tuneiras do Oeste (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Tupãssi (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Turvo (PR)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Ubiratã (PR)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Umuarama (PR)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"União da Vitória (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Uniflor (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Uraí (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Wenceslau Braz (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Ventania (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Vera Cruz do Oeste (PR)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Verê (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Alto Paraíso (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Doutor Ulysses (PR)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Virmond (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Vitorino (PR)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Xambrê (PR)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Abdon Batista (SC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Abelardo Luz (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Agrolândia (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Agronômica (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Água Doce (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Águas de Chapecó (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Águas Frias (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Águas Mornas (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Alfredo Wagner (SC)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Alto Bela Vista (SC)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Anchieta (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Angelina (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Anita Garibaldi (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Anitápolis (SC)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-"
"Antônio Carlos (SC)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Apiúna (SC)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Arabutã (SC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Araquari (SC)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Araranguá (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Armazém (SC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Arroio Trinta (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Arvoredo (SC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Ascurra (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Atalanta (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Aurora (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Balneário Arroio do Silva (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Balneário Camboriú (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Balneário Barra do Sul (SC)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Balneário Gaivota (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Bandeirante (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Barra Bonita (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Barra Velha (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Bela Vista do Toldo (SC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Belmonte (SC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Benedito Novo (SC)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Biguaçu (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Blumenau (SC)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Bocaina do Sul (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Bombinhas (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Bom Jardim da Serra (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Bom Jesus (SC)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Bom Jesus do Oeste (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Bom Retiro (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Botuverá (SC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Braço do Norte (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Braço do Trombudo (SC)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Brunópolis (SC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-"
"Brusque (SC)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Caçador (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Caibi (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Calmon (SC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Camboriú (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Capão Alto (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Campo Alegre (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Campo Belo do Sul (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Campo Erê (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Campos Novos (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Canelinha (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Canoinhas (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Capinzal (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Capivari de Baixo (SC)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Catanduvas (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Caxambu do Sul (SC)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Celso Ramos (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Cerro Negro (SC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Chapadão do Lageado (SC)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Chapecó (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Cocal do Sul (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Concórdia (SC)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Cordilheira Alta (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"1";"-";"-"
"Coronel Freitas (SC)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Coronel Martins (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Corupá (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Correia Pinto (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Criciúma (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Cunha Porã (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Cunhataí (SC)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Curitibanos (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Descanso (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Dionísio Cerqueira (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Dona Emma (SC)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Doutor Pedrinho (SC)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Entre Rios (SC)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Ermo (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Erval Velho (SC)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Faxinal dos Guedes (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Flor do Sertão (SC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Florianópolis (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Formosa do Sul (SC)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Forquilhinha (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Fraiburgo (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Frei Rogério (SC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Galvão (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Garopaba (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Garuva (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Gaspar (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Governador Celso Ramos (SC)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Grão-Pará (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Gravatal (SC)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Guabiruba (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Guaraciaba (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Guaramirim (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Guarujá do Sul (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Guatambú (SC)";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Herval d'Oeste (SC)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Ibiam (SC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Ibicaré (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Ibirama (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Içara (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Ilhota (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Imaruí (SC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Imbituba (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Imbuia (SC)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Indaial (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Iomerê (SC)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Ipira (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Iporã do Oeste (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Ipuaçu (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Ipumirim (SC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
